name,category,image_url,speed,overtaking,reflexes,consistency,strategy,ranking,is_super_trunfo
José Ricardo,Pesado,https://lh3.googleusercontent.com/d/1YBTzy1afkqbDx05Bd7fQInQ88hUEOpvG=w800,85,85,86,84,87,85,false
Alexandre Herd,Pesado,https://lh3.googleusercontent.com/d/1I04qyHK5IdWTZZKyYYMv30iR7FrQMKHC=w800,80,81,81,84,90,83,false
Marco Odam,Pesado,https://lh3.googleusercontent.com/d/1cJIuSS5ddb_NC9cqwHqBZ2ijp4kTI7xM=w800,78,81,81,82,83,81,false
Gustavo Labanca,Pesado,https://lh3.googleusercontent.com/d/1YBTzy1afkqbDx05Bd7fQInQ88hUEOpvG=w800,82,78,80,80,73,79,false
Luís Reis,Pesado,https://lh3.googleusercontent.com/d/1I04qyHK5IdWTZZKyYYMv30iR7FrQMKHC=w800,74,79,77,81,76,77,false
Rodrigo Angelo,Pesado,https://lh3.googleusercontent.com/d/1cJIuSS5ddb_NC9cqwHqBZ2ijp4kTI7xM=w800,75,75,77,76,74,75,false
Chrystopher Hashimoto,Pesado,https://lh3.googleusercontent.com/d/1YBTzy1afkqbDx05Bd7fQInQ88hUEOpvG=w800,74,73,77,73,68,73,false
Ryan Santos,Pesado,https://lh3.googleusercontent.com/d/1I04qyHK5IdWTZZKyYYMv30iR7FrQMKHC=w800,71,69,72,76,74,72,false
Fábio Mattos,Pesado,https://lh3.googleusercontent.com/d/1cJIuSS5ddb_NC9cqwHqBZ2ijp4kTI7xM=w800,73,67,72,70,68,70,false
João Dias,Pesado,https://lh3.googleusercontent.com/d/1YBTzy1afkqbDx05Bd7fQInQ88hUEOpvG=w800,64,72,67,63,72,68,false
Paulo Lantelme,Pesado,https://lh3.googleusercontent.com/d/1I04qyHK5IdWTZZKyYYMv30iR7FrQMKHC=w800,68,63,65,69,65,66,false
Rogério Gama,Pesado,https://lh3.googleusercontent.com/d/1cJIuSS5ddb_NC9cqwHqBZ2ijp4kTI7xM=w800,64,66,61,62,65,64,false
Gabriel Carvalho,New Generation,https://lh3.googleusercontent.com/d/1p-M8BWwJele6DgHC0AT9uA9T9znRWjCP=w800,94,94,96,94,91,94,false
Max Bretanha,New Generation,https://lh3.googleusercontent.com/d/1QQ3zwJfuLwhmbDVp9tw_e2kk_FfQzY0u=w800,90,94,88,90,98,92,false
Miguel Antunes,New Generation,https://lh3.googleusercontent.com/d/1mYH4r72DBDDBd6WavORbCd6bA0_FDdKg=w800,92,87,87,96,87,90,false
Ricardo Junior,New Generation,https://lh3.googleusercontent.com/d/1R3AJX7vfvj0g29-JgvrAkZjXHtNvtCPt=w800,86,88,92,87,88,88,false
Joaquim Neto,New Generation,https://lh3.googleusercontent.com/d/11hyvdYtdDKmRLD-CtjnG2ItzbE0B5LgF=w800,84,89,84,83,85,85,false
Vladmyr Pietro,New Generation,https://lh3.googleusercontent.com/d/1p-M8BWwJele6DgHC0AT9uA9T9znRWjCP=w800,80,87,84,86,80,83,false
Guilherme Barbosa,New Generation,https://lh3.googleusercontent.com/d/1QQ3zwJfuLwhmbDVp9tw_e2kk_FfQzY0u=w800,82,79,87,79,80,81,false
Matheus Menezes,New Generation,https://lh3.googleusercontent.com/d/1mYH4r72DBDDBd6WavORbCd6bA0_FDdKg=w800,79,79,76,82,81,79,false
Super Arthur,New Generation,https://lh3.googleusercontent.com/d/1R3AJX7vfvj0g29-JgvrAkZjXHtNvtCPt=w800,74,77,79,76,80,77,false
João Seixas,New Generation,https://lh3.googleusercontent.com/d/11hyvdYtdDKmRLD-CtjnG2ItzbE0B5LgF=w800,73,74,77,79,74,75,false
Victor Sigal,New Generation,https://lh3.googleusercontent.com/d/1p-M8BWwJele6DgHC0AT9uA9T9znRWjCP=w800,68,74,72,77,72,73,false
Leonardo Brito,New Generation,https://lh3.googleusercontent.com/d/1QQ3zwJfuLwhmbDVp9tw_e2kk_FfQzY0u=w800,72,65,70,74,70,70,false
Arthur Apolinário,New Generation,https://lh3.googleusercontent.com/d/1mYH4r72DBDDBd6WavORbCd6bA0_FDdKg=w800,68,69,66,67,72,68,false
Miguel Rosado,New Generation,https://lh3.googleusercontent.com/d/1R3AJX7vfvj0g29-JgvrAkZjXHtNvtCPt=w800,64,62,70,67,65,66,false
Vicente Dias,New Generation,https://lh3.googleusercontent.com/d/11hyvdYtdDKmRLD-CtjnG2ItzbE0B5LgF=w800,63,68,63,62,62,64,false
Iança Simplício,Speed Girls,,94,95,93,90,96,94,false
Nathália Trocado,Speed Girls,,95,85,92,94,95,92,false
Dani Fontenelle,Speed Girls,,89,88,91,88,87,89,false
Teresa Capilluppi,Speed Girls,,86,83,88,87,89,87,false
Julia Rangel,Speed Girls,,84,83,86,86,86,85,false
Michaela Dias,Speed Girls,,84,82,82,80,84,82,false
Gabi Trindade,Speed Girls,,81,79,79,80,83,80,false
Jake Santana,Speed Girls,,72,81,76,81,78,78,false
Yasmim Carvalho,Speed Girls,,78,77,81,74,72,76,false
Letícia Souza,Speed Girls,,76,77,74,70,69,73,false
Pilar Ferreira,Speed Girls,,70,70,69,68,77,71,false
Juliana Rezende,Speed Girls,,67,69,68,66,74,69,false
Letícia Page,Speed Girls,,65,61,69,66,67,66,false
Maria Gregory,Speed Girls,,67,60,65,68,60,64,false
Super Trunfo Meta Kart,Especial,,99,99,99,99,99,100,true
